"SALEDATE","SALE_YEAR","SALE_MONTHNAME","SALE_DAY","SALE_MONTH"
"Tue Dec 16 2014 12:30:00 GMT-0800 (PST)","2014","Dec","16",12
"Tue Dec 16 2014 12:30:00 GMT-0800 (PST)","2014","Dec","16",12
"Thu Jan 15 2015 04:30:00 GMT-0800 (PST)","2015","Jan","15",1
"Thu Jan 29 2015 04:30:00 GMT-0800 (PST)","2015","Jan","29",1
"Thu Dec 18 2014 12:30:00 GMT-0800 (PST)","2014","Dec","18",12
"Tue Dec 30 2014 12:00:00 GMT-0800 (PST)","2014","Dec","30",12
"Wed Dec 17 2014 12:30:00 GMT-0800 (PST)","2014","Dec","17",12
"Tue Dec 16 2014 13:00:00 GMT-0800 (PST)","2014","Dec","16",12
"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)","2014","Dec","18",12
"Tue Jan 20 2015 04:00:00 GMT-0800 (PST)","2015","Jan","20",1
"Tue Dec 16 2014 12:30:00 GMT-0800 (PST)","2014","Dec","16",12
"Tue Dec 16 2014 12:00:00 GMT-0800 (PST)","2014","Dec","16",12
"Tue Jan 13 2015 12:00:00 GMT-0800 (PST)","2015","Jan","13",1
"Tue Dec 16 2014 12:30:00 GMT-0800 (PST)","2014","Dec","16",12
"Tue Dec 16 2014 12:00:00 GMT-0800 (PST)","2014","Dec","16",12
"Tue Dec 23 2014 12:00:00 GMT-0800 (PST)","2014","Dec","23",12
"Tue Dec 16 2014 13:00:00 GMT-0800 (PST)","2014","Dec","16",12
"Thu Dec 18 2014 12:30:00 GMT-0800 (PST)","2014","Dec","18",12
"Tue Dec 30 2014 15:00:00 GMT-0800 (PST)","2014","Dec","30",12
"Wed Dec 17 2014 12:30:00 GMT-0800 (PST)","2014","Dec","17",12
"Tue Jul 07 2015 09:30:00 GMT-0700 (PDT)","2015","Jul","07",7
"Tue Feb 03 2015 04:30:00 GMT-0800 (PST)","2015","Feb","03",2
"Tue Dec 16 2014 12:00:00 GMT-0800 (PST)","2014","Dec","16",12
"Thu Dec 18 2014 12:30:00 GMT-0800 (PST)","2014","Dec","18",12
