"SEASON","TEAM_NAME","WINS","LOSSES","WIN_PCT","WINS_5Y","LOSSES_5Y","WIN_PCT_5Y"
"1962","Los Angeles Lakers",53,27,0.663,53,27,0.663
"1963","Los Angeles Lakers",42,38,0.525,95,65,0.594
"1964","Los Angeles Lakers",49,31,0.613,144,96,0.6
"1965","Los Angeles Lakers",45,35,0.563,189,131,0.591
"1967","Los Angeles Lakers",52,30,0.634,241,161,0.6
"1968","Los Angeles Lakers",55,27,0.671,243,161,0.601
"1969","Los Angeles Lakers",46,36,0.561,247,159,0.608
"1971","Los Angeles Lakers",69,13,0.841,267,141,0.654
"1972","Los Angeles Lakers",60,22,0.732,282,128,0.688
"1973","Los Angeles Lakers",47,35,0.573,277,133,0.676
"1974","Los Angeles Lakers",30,52,0.366,252,158,0.615
"1977","Los Angeles Lakers",45,37,0.549,251,159,0.612
"1978","Los Angeles Lakers",47,35,0.573,229,181,0.559
"1979","Los Angeles Lakers",60,22,0.732,229,181,0.559
"1980","Los Angeles Lakers",54,28,0.659,236,174,0.576
"1981","Los Angeles Lakers",57,25,0.695,263,147,0.641
"1982","Los Angeles Lakers",58,24,0.707,276,134,0.673
"1983","Los Angeles Lakers",54,28,0.659,283,127,0.69
"1984","Los Angeles Lakers",62,20,0.756,285,125,0.695
"1985","Los Angeles Lakers",62,20,0.756,293,117,0.715
"1986","Los Angeles Lakers",65,17,0.793,301,109,0.734
"1987","Los Angeles Lakers",62,20,0.756,305,105,0.744
"1988","Los Angeles Lakers",57,25,0.695,308,102,0.751
"1989","Los Angeles Lakers",63,19,0.768,309,101,0.754
"1990","Los Angeles Lakers",58,24,0.707,305,105,0.744
"1991","Los Angeles Lakers",43,39,0.524,283,127,0.69
"1992","Los Angeles Lakers",39,43,0.476,260,150,0.634
"1993","Los Angeles Lakers",33,49,0.402,236,174,0.576
"1994","Los Angeles Lakers",48,34,0.585,221,189,0.539
"1995","Los Angeles Lakers",53,29,0.646,216,194,0.527
"1996","Los Angeles Lakers",56,26,0.683,229,181,0.559
"1997","Los Angeles Lakers",61,21,0.744,251,159,0.612
"1998","Los Angeles Lakers",31,19,0.62,249,129,0.659
"1999","Los Angeles Lakers",67,15,0.817,268,110,0.709
"2000","Los Angeles Lakers",56,26,0.683,271,107,0.717
"2001","Los Angeles Lakers",58,24,0.707,273,105,0.722
"2002","Los Angeles Lakers",50,32,0.61,262,116,0.693
"2003","Los Angeles Lakers",56,26,0.683,287,123,0.7
"2004","Los Angeles Lakers",34,48,0.415,254,156,0.62
"2005","Los Angeles Lakers",45,37,0.549,243,167,0.593
"2006","Los Angeles Lakers",42,40,0.512,227,183,0.554
"2007","Los Angeles Lakers",57,25,0.695,234,176,0.571
"2008","Los Angeles Lakers",65,17,0.793,243,167,0.593
"2009","Los Angeles Lakers",57,25,0.695,266,144,0.649
"2010","Los Angeles Lakers",57,25,0.695,278,132,0.678
"2011","Los Angeles Lakers",41,25,0.621,277,117,0.703
"2013","Los Angeles Lakers",27,55,0.329,247,147,0.627
"2014","Los Angeles Lakers",21,61,0.256,203,191,0.515
"2015","Los Angeles Lakers",17,65,0.207,163,231,0.414
"2016","Los Angeles Lakers",26,56,0.317,132,262,0.335
"2017","Los Angeles Lakers",35,47,0.427,126,284,0.307
"2018","Los Angeles Lakers",37,45,0.451,136,274,0.332
"2019","Los Angeles Lakers",52,19,0.732,167,232,0.419
"2020","Los Angeles Lakers",42,30,0.583,192,197,0.494
"2021","Los Angeles Lakers",33,49,0.402,199,190,0.512
"2022","Los Angeles Lakers",43,39,0.524,207,182,0.532
