"SEASON","TEAM_NAME","WINS","WINS_PREV_SEASON","WINS_INCREASE"
2007,"Boston Celtics",66,24,42
1997,"San Antonio Spurs",56,20,36
1999,"Los Angeles Lakers",67,31,36
1989,"San Antonio Spurs",56,21,35
2004,"Phoenix Suns",62,29,33
1979,"Boston Celtics",61,29,32
1969,"Milwaukee Bucks",56,27,29
2008,"Miami Heat",43,15,28
1988,"Phoenix Suns",55,28,27
2009,"Oklahoma City Thunder",50,23,27
2003,"Denver Nuggets",43,17,26
1999,"Phoenix Suns",53,27,26
2001,"New Jersey Nets",52,26,26
2014,"Milwaukee Bucks",41,15,26
1999,"Minnesota Timberwolves",50,25,25
1995,"Chicago Bulls",72,47,25
2004,"Chicago Bulls",47,23,24
1991,"Cleveland Cavaliers",57,33,24
1999,"Portland Trail Blazers",59,35,24
2017,"Philadelphia 76ers",52,28,24
2020,"Golden State Warriors",39,15,24
1999,"Charlotte Hornets",49,26,23
1994,"Dallas Mavericks",36,13,23
1988,"Golden State Warriors",43,20,23
1969,"Phoenix Suns",39,16,23
2021,"Minnesota Timberwolves",46,23,23
1999,"New York Knicks",50,27,23
1999,"Indiana Pacers",56,33,23
2014,"Atlanta Hawks",60,38,22
2021,"Cleveland Cavaliers",44,22,22
1999,"Toronto Raptors",45,23,22
1968,"San Diego Rockets",37,15,22
2003,"Memphis Grizzlies",50,28,22
2020,"Atlanta Hawks",41,20,21
1968,"Baltimore Bullets",57,36,21
1997,"Boston Celtics",36,15,21
1973,"Buffalo Braves",42,21,21
2021,"Toronto Raptors",48,27,21
2008,"Cleveland Cavaliers",66,45,21
1999,"Dallas Mavericks",40,19,21
1999,"Denver Nuggets",35,14,21
1999,"Philadelphia 76ers",49,28,21
2010,"Chicago Bulls",62,41,21
2014,"Cleveland Cavaliers",53,33,20
1981,"New Jersey Nets",44,24,20
2020,"New York Knicks",41,21,20
2004,"Washington Wizards",45,25,20
1989,"Portland Trail Blazers",59,39,20
1999,"Seattle SuperSonics",45,25,20
2006,"Toronto Raptors",47,27,20
1992,"Orlando Magic",41,21,20
1949,"Ft. Wayne Zollner Pistons",41,22,19
1978,"Houston Rockets",47,28,19
1999,"Miami Heat",52,33,19
1997,"Indiana Pacers",58,39,19
1996,"Miami Heat",61,42,19
1984,"Houston Rockets",48,29,19
2003,"Cleveland Cavaliers",35,17,18
1981,"Detroit Pistons",39,21,18
1995,"Detroit Pistons",46,28,18
2001,"Detroit Pistons",50,32,18
2006,"Houston Rockets",52,34,18
2021,"Memphis Grizzlies",56,38,18
2001,"Washington Wizards",37,19,18
2022,"Sacramento Kings",48,30,18
1965,"San Francisco Warriors",35,17,18
1981,"Seattle SuperSonics",52,34,18
1999,"Utah Jazz",55,37,18
1995,"Washington Bullets",39,21,18
2016,"Philadelphia 76ers",28,10,18
1950,"Boston Celtics",39,22,17
1987,"Denver Nuggets",54,37,17
2002,"Golden State Warriors",38,21,17
1978,"Kansas City Kings",48,31,17
2003,"Miami Heat",42,25,17
2004,"Miami Heat",59,42,17
1963,"San Francisco Warriors",48,31,17
2018,"Orlando Magic",42,25,17
1953,"Philadelphia Warriors",29,12,17
1959,"Philadelphia Warriors",49,32,17
2020,"Phoenix Suns",51,34,17
1999,"Sacramento Kings",44,27,17
1997,"New Jersey Nets",43,26,17
1985,"Atlanta Hawks",50,34,16
1999,"Boston Celtics",35,19,16
1993,"Golden State Warriors",50,34,16
2014,"Golden State Warriors",67,51,16
2000,"Los Angeles Clippers",31,15,16
1999,"San Antonio Spurs",53,37,16
2018,"Milwaukee Bucks",60,44,16
2017,"Minnesota Timberwolves",47,31,16
2022,"Oklahoma City Thunder",40,24,16
1973,"Philadelphia 76ers",25,9,16
1997,"Phoenix Suns",56,40,16
2009,"Memphis Grizzlies",40,24,16
2014,"Boston Celtics",40,25,15
2005,"Utah Jazz",41,26,15
2015,"Charlotte Hornets",48,33,15
1980,"Chicago Bulls",45,30,15
2021,"Chicago Bulls",46,31,15
1988,"Cleveland Cavaliers",57,42,15
1980,"Golden State Warriors",39,24,15
1983,"Houston Rockets",29,14,15
2002,"Houston Rockets",43,28,15
1986,"Indiana Pacers",41,26,15
