"SEASON","TEAM_NAME","WINS","LOSSES","WIN_PCT","WINS_5Y","LOSSES_5Y","WIN_PCT_5Y"
"2018","Golden State Warriors",57,25,0.695,322,88,0.785
"2017","Golden State Warriors",58,24,0.707,316,94,0.771
"1985","Boston Celtics",67,15,0.817,311,99,0.759
"1989","Los Angeles Lakers",63,19,0.768,309,101,0.754
"1988","Los Angeles Lakers",57,25,0.695,308,102,0.751
"1987","Boston Celtics",57,25,0.695,308,102,0.751
"2015","San Antonio Spurs",67,15,0.817,295,99,0.749
"1964","Boston Celtics",62,18,0.775,290,97,0.749
"1986","Boston Celtics",59,23,0.72,307,103,0.749
"2016","San Antonio Spurs",61,21,0.744,295,99,0.749
"1984","Boston Celtics",63,19,0.768,306,104,0.746
"1990","Los Angeles Lakers",58,24,0.707,305,105,0.744
"1987","Los Angeles Lakers",62,20,0.756,305,105,0.744
"1997","Chicago Bulls",62,20,0.756,305,105,0.744
"1983","Boston Celtics",62,20,0.756,304,106,0.741
"1965","Boston Celtics",54,26,0.675,292,103,0.739
"1997","Seattle SuperSonics",61,21,0.744,302,108,0.737
"1998","Utah Jazz",37,13,0.74,278,100,0.735
"1986","Los Angeles Lakers",65,17,0.793,301,109,0.734
"1996","Chicago Bulls",69,13,0.841,300,110,0.732
"1963","Boston Celtics",59,21,0.738,277,102,0.731
"1995","Chicago Bulls",72,10,0.878,298,112,0.727
"2005","San Antonio Spurs",63,19,0.768,297,113,0.724
"2006","Dallas Mavericks",67,15,0.817,297,113,0.724
"2006","San Antonio Spurs",58,24,0.707,297,113,0.724
"1999","Utah Jazz",55,27,0.671,273,105,0.722
"2001","Los Angeles Lakers",58,24,0.707,273,105,0.722
"1983","Philadelphia 76ers",52,30,0.634,296,114,0.722
"1996","Seattle SuperSonics",57,25,0.695,296,114,0.722
"1993","Chicago Bulls",55,27,0.671,295,115,0.72
"1984","Philadelphia 76ers",58,24,0.707,295,115,0.72
"2000","Utah Jazz",53,29,0.646,271,107,0.717
"1997","Utah Jazz",62,20,0.756,294,116,0.717
"2000","Los Angeles Lakers",56,26,0.683,271,107,0.717
"2007","San Antonio Spurs",56,26,0.683,293,117,0.715
"1985","Los Angeles Lakers",62,20,0.756,293,117,0.715
"1967","Boston Celtics",54,28,0.659,287,115,0.714
"2016","Golden State Warriors",67,15,0.817,281,113,0.713
"2017","San Antonio Spurs",47,35,0.573,292,118,0.712
"2004","San Antonio Spurs",59,23,0.72,292,118,0.712
"1982","Philadelphia 76ers",65,17,0.793,291,119,0.71
"1999","Los Angeles Lakers",67,15,0.817,268,110,0.709
"2008","San Antonio Spurs",54,28,0.659,290,120,0.707
"2014","San Antonio Spurs",55,27,0.671,278,116,0.706
"1962","Boston Celtics",58,22,0.725,262,109,0.706
"2002","San Antonio Spurs",60,22,0.732,266,112,0.704
"2013","San Antonio Spurs",62,20,0.756,277,117,0.703
"2011","Los Angeles Lakers",41,25,0.621,277,117,0.703
"1988","Boston Celtics",42,40,0.512,288,122,0.702
"2007","Dallas Mavericks",51,31,0.622,288,122,0.702
"1985","Philadelphia 76ers",54,28,0.659,287,123,0.7
"2005","Dallas Mavericks",60,22,0.732,287,123,0.7
"1994","Chicago Bulls",47,35,0.573,287,123,0.7
"1992","Chicago Bulls",57,25,0.695,287,123,0.7
"2003","Los Angeles Lakers",56,26,0.683,287,123,0.7
"1998","Seattle SuperSonics",25,25,0.5,264,114,0.698
"1995","Seattle SuperSonics",64,18,0.78,286,124,0.698
"2008","Dallas Mavericks",50,32,0.61,286,124,0.698
"2003","San Antonio Spurs",57,25,0.695,286,124,0.698
"1998","Chicago Bulls",13,37,0.26,263,115,0.696
"1994","Phoenix Suns",59,23,0.72,285,125,0.695
"1984","Los Angeles Lakers",62,20,0.756,285,125,0.695
"2001","San Antonio Spurs",58,24,0.707,262,116,0.693
"2011","Boston Celtics",39,27,0.591,273,121,0.693
"2019","Toronto Raptors",53,19,0.736,277,123,0.693
"2002","Los Angeles Lakers",50,32,0.61,262,116,0.693
"2022","Milwaukee Bucks",58,24,0.707,271,120,0.693
"2007","Detroit Pistons",59,23,0.72,284,126,0.693
"1983","Los Angeles Lakers",54,28,0.659,283,127,0.69
"2009","Dallas Mavericks",55,27,0.671,283,127,0.69
"1991","Los Angeles Lakers",43,39,0.524,283,127,0.69
