"MAKE","MODEL","COUNT(*)"
"Nissan","Altima",19349
"Ford","F-150",14479
"Ford","Fusion",12946
"Toyota","Camry",12545
"Ford","Escape",11861
"Ford","Focus",10394
"Honda","Accord",9127
"BMW","3 Series",8204
"Dodge","Grand Caravan",7941
"Chevrolet","Impala",7923
"Ford","Explorer",7707
"Honda","Civic",7433
"Infiniti","G Sedan",7417
"Toyota","Corolla",7354
"Chevrolet","Malibu",7028
"Hyundai","Sonata",6914
"Nissan","Maxima",6611
"Chevrolet","Silverado 1500",6362
"Chevrolet","Cruze",6348
"Hyundai","Elantra",6262
"Chrysler","Town and Country",5994
"Ford","Edge",5915
"Nissan","Rogue",5589
"Nissan","Sentra",5465
"Mercedes-Benz","C-Class",5397
"Ford","Mustang",4950
"Chevrolet","Equinox",4916
"Jeep","Grand Cherokee",4686
"Volkswagen","Jetta",4660
"Ford","Taurus",4649
"Dodge","Charger",4539
"Kia","Optima",4388
"BMW","5 Series",4172
"Chrysler","200",4048
"Dodge","Avenger",3962
"Chrysler","300",3903
"Mercedes-Benz","E-Class",3884
"Jeep","Wrangler",3711
"Honda","Odyssey",3500
"Kia","Sorento",3408
"Volkswagen","Passat",3327
"Honda","CR-V",3265
"Ram","1500",3226
"Toyota","RAV4",3209
"Dodge","Journey",3100
"Chevrolet","Tahoe",3094
"Nissan","Versa",3092
"Nissan","Murano",2904
"Mazda","Mazda3",2865
"Ford","Expedition",2826
"Toyota","Sienna",2825
"Kia","Forte",2751
"Kia","Soul",2743
"Ford","F-250 Super Duty",2559
"Jeep","Liberty",2556
"BMW","X5",2462
"Chevrolet","Suburban",2401
"Lexus","RX 350",2380
"Ford","Fiesta",2375
"GMC","Sierra 1500",2333
"Audi","A4",2261
"Dodge","Ram Pickup 1500",2234
"Toyota","Highlander",2232
"MINI","Cooper",2209
"Nissan","Pathfinder",2152
"Acura","TL",2135
"Honda","Pilot",2068
"Dodge","Durango",2060
"Hyundai","Accent",2041
"GMC","Acadia",2034
"Chevrolet","Traverse",2012
"Chevrolet","Camaro",1950
"Lexus","IS 250",1939
"Cadillac","CTS",1934
"Lexus","ES 350",1921
"Mercedes-Benz","M-Class",1908
"Ford","Ranger",1851
"Toyota","Prius",1840
"Ford","E-Series Van",1823
"Chevrolet","Sonic",1783
"Jeep","Patriot",1776
"Lincoln","MKZ",1704
"Pontiac","G6",1686
"Chevrolet","Cobalt",1653
"Hyundai","Santa Fe",1645
"Infiniti","G Coupe",1593
"Acura","MDX",1581
"Nissan","Leaf",1514
"Mazda","Mazda6",1512
"Mercedes-Benz","S-Class",1511
"Kia","Rio",1482
"Chevrolet","Silverado 2500HD",1443
"Nissan","Frontier",1411
"Subaru","Outback",1410
"GMC","Yukon",1373
"Jeep","Compass",1365
"Chrysler","Sebring",1347
"Toyota","4Runner",1339
"Dodge","Caliber",1335
"Toyota","Tundra",1314
"Ford","E-Series Wagon",1282
"GMC","Yukon XL",1262
"Nissan","Xterra",1254
"Cadillac","SRX",1252
"BMW","X3",1250
"Chrysler","PT Cruiser",1231
"Toyota","Yaris",1225
"Kia","Sportage",1224
"Ford","Flex",1207
"Dodge","Challenger",1196
"BMW","7 Series",1189
"Buick","LaCrosse",1188
"Cadillac","Escalade",1183
"Lincoln","MKX",1160
"Chevrolet","Avalanche",1154
"Volvo","S60",1153
"Toyota","Avalon",1149
"Subaru","Legacy",1141
"Toyota","Tacoma",1140
"GMC","Terrain",1136
"Chevrolet","TrailBlazer",1133
"Ford","F-350 Super Duty",1123
"Infiniti","G35",1121
"Acura","TSX",1119
"Chevrolet","Impala Limited",1102
"Chevrolet","HHR",1092
"Buick","Enclave",1070
"Chevrolet","Express Cargo",1063
"Mercedes-Benz","GL-Class",1061
"Pontiac","Grand Prix",1048
"Mitsubishi","Lancer",1034
"Dodge","Dart",1028
"Chevrolet","Captiva Sport",1016
"Subaru","Forester",954
"Subaru","Impreza",953
"Kia","Sedona",946
"Ram","2500",924
"Hyundai","Genesis",902
"Infiniti","M",898
"Lincoln","MKS",878
"Hyundai","Tucson",873
"Mercedes-Benz","GLK-Class",857
"Saturn","VUE",852
"Mazda","CX-9",845
"Lincoln","Navigator",833
"Audi","A6",831
"Chevrolet","Colorado",813
"Nissan","Titan",802
"Nissan","Quest",802
"Volkswagen","New Beetle",799
"Nissan","Armada",789
"Chevrolet","Aveo",770
"Lexus","GS 350",766
"Ford","Econoline Cargo",750
"Land Rover","Range Rover Sport",749
"Volvo","XC90",734
"Ford","Transit Connect",700
"Scion","tC",694
"BMW","6 Series",676
"Jeep","Commander",671
"GMC","Savana Cargo",662
"Nissan","Versa Note",658
"Volkswagen","CC",649
"Ford","Fusion Hybrid",642
"Cadillac","DeVille",634
"Cadillac","Escalade ESV",625
"Mazda","Mazda5",623
"GMC","Envoy",614
"Dodge","Nitro",610
"Hyundai","Veloster",608
"Jeep","Cherokee",606
"Dodge","Dakota",603
"Toyota","Camry Hybrid",598
"Buick","Regal",598
"Toyota","Sequoia",596
"Mitsubishi","Outlander",588
"Toyota","Venza",578
"Lexus","LS 460",574
"Mitsubishi","Galant",573
"Porsche","Cayenne",562
"FIAT","500",557
"Mitsubishi","Outlander Sport",547
"Hyundai","Sonata Hybrid",546
"Audi","Q5",542
"Infiniti","Q50",539
"Volkswagen","Tiguan",537
"Mercury","Grand Marquis",536
"Chevrolet","Corvette",534
"Cadillac","DTS",509
"Mazda","CX-5",507
"Chevrolet","Volt",506
"Dodge","Ram Pickup 2500",505
"Scion","xB",504
"MINI","Cooper Countryman",498
"Buick","LeSabre",498
"Buick","Lucerne",496
"Saturn","ION",481
"Audi","Q7",480
"Nissan","Juke",479
"Mercedes-Benz","CLK-Class",477
"Mercedes-Benz","CLS-Class",476
"Kia","Spectra",468
"Saturn","Aura",465
"Volkswagen","Beetle",457
"GMC","Sierra 2500HD",453
"Honda","Fit",441
"Infiniti","QX56",438
"Pontiac","Grand Am",436
"Mercedes-Benz","SL-Class",435
"HUMMER","H3",429
"Acura","RDX",420
"Mercury","Mountaineer",420
"Mazda","Mazda2",418
"Volkswagen","GTI",416
"Lexus","CT 200h",412
"Volvo","XC60",412
"Lexus","RX 330",411
"BMW","1 Series",405
"Ford","Explorer Sport Trac",403
"Chevrolet","Monte Carlo",398
"Volvo","S40",396
"Land Rover","Range Rover",396
"smart","fortwo",395
"Infiniti","FX",394
"Mitsubishi","Eclipse",394
"Jaguar","XF",391
"Lexus","LS 430",386
"Toyota","FJ Cruiser",385
"Mazda","CX-7",384
"Chevrolet","Cavalier",384
"Buick","Verano",382
"Lexus","ES 300",381
"Dodge","Magnum",375
"Toyota","Camry Solara",368
"MINI","Cooper Clubman",359
"Audi","A5",359
"Ford","Five Hundred",358
"Saab","9-3",354
"Lincoln","Town Car",352
"Saturn","S-Series",350
"Toyota","Matrix",349
"Chevrolet","Uplander",342
"Volkswagen","Touareg",338
"Lexus","RX 300",334
"Mercedes-Benz","R-Class",332
"BMW","X1",331
"Chevrolet","Blazer",329
"Infiniti","FX35",325
"Infiniti","G Convertible",323
"Chevrolet","Spark",322
"Infiniti","JX",322
"Mercedes-Benz","SLK-Class",321
"Volkswagen","Golf",319
"Hyundai","Azera",314
"Ford","C-Max Hybrid",312
"Mercury","Mariner",312
"Lexus","ES 330",309
"Mazda","Tribute",309
"Honda","Element",308
"FIAT","500L",305
"Hyundai","Santa Fe Sport",304
"HUMMER","H2",304
"Cadillac","STS",303
"Honda","Crosstour",300
"Audi","A8",298
"BMW","M3",297
"Hyundai","Genesis Coupe",294
"BMW","4 Series",293
"Chevrolet","Express",293
"Dodge","Stratus",291
"Saturn","Outlook",288
"Buick","Rendezvous",287
"Nissan","Cube",286
"Suzuki","SX4",281
"Volvo","S80",279
"Ford","Freestyle",278
"BMW","Z4",276
"Mercury","Milan",274
"Porsche","Panamera",268
"Pontiac","Torrent",266
"BMW","X6",263
"Ford","Freestar",262
"Audi","A3",259
"Lexus","GX 460",257
"Infiniti","M35",257
"Ram","3500",253
"Pontiac","Vibe",246
"Dodge","Neon",246
"Hyundai","Elantra GT",246
"Kia","Cadenza",245
"Jaguar","S-Type",240
"GMC","Envoy XL",239
"Suzuki","Forenza",239
"Porsche","Boxster",235
"Ford","C-Max Energi",234
"Volkswagen","Routan",232
"Chrysler","Pacifica",229
"Porsche","911",229
"Honda","Insight",228
"Chrysler","Aspen",228
"Dodge","Caravan",227
"Buick","Century",227
"Mazda","MX-5 Miata",227
"Chevrolet","S-10",221
"Mercury","Sable",221
"Lexus","GS 300",219
"Lincoln","LS",218
"Infiniti","G37",215
"Jaguar","XJ",213
"Ford","Windstar",212
"Infiniti","QX",211
"Mitsubishi","Mirage",211
"Volkswagen","Jetta SportWagen",208
"Nissan","370Z",205
"Toyota","Highlander Hybrid",204
"BMW","5 Series Gran Turismo",204
"Subaru","XV Crosstrek",201
"Cadillac","ATS",201
"Dodge","Ram Pickup 3500",201
"Honda","Ridgeline",199
"Audi","S4",197
