"TEAM_NAME","WINS","LOSSES"
"Boston Celtics",3625,2581
"Los Angeles Lakers",3123,2080
"New York Knicks",2863,3014
"Philadelphia 76ers",2462,2424
"Detroit Pistons",2448,2662
"San Antonio Spurs",2427,1650
"Phoenix Suns",2424,2065
"Chicago Bulls",2377,2231
"Milwaukee Bucks",2345,2165
"Houston Rockets",2277,2056
"Portland Trail Blazers",2274,2023
"Atlanta Hawks",2201,2249
"Utah Jazz",2111,1689
"Golden State Warriors",2099,2199
"Cleveland Cavaliers",2015,2243
"Denver Nuggets",1946,2052
"Indiana Pacers",1932,1974
"Dallas Mavericks",1846,1832
"Seattle SuperSonics",1720,1567
"Miami Heat",1594,1477
"Orlando Magic",1363,1493
"Sacramento Kings",1341,1775
"New Jersey Nets",1238,1710
"Toronto Raptors",1154,1207
"Minnesota Timberwolves",1138,1646
"Los Angeles Clippers",976,1563
"Washington Wizards",921,1226
"Memphis Grizzlies",912,974
"Charlotte Hornets",895,1015
"Washington Bullets",838,990
"Oklahoma City Thunder",701,596
"Syracuse Nationals",538,394
"Baltimore Bullets",520,635
"Minneapolis Lakers",518,415
"Philadelphia Warriors",495,514
"St. Louis Hawks",478,370
"Cincinnati Royals",421,481
"LA Clippers",412,308
"Brooklyn Nets",408,491
"New Orleans Pelicans",394,468
"Rochester Royals",376,283
"New Orleans Hornets",353,377
"Ft. Wayne Zollner Pistons",331,334
"Kansas City Kings",319,363
"Charlotte Bobcats",291,503
"San Francisco Warriors",264,344
"San Diego Clippers",186,306
"Buffalo Braves",170,262
"Washington Capitols",165,126
"Chicago Stags",154,106
"Indianapolis Olympians",136,146
"St. Louis Bombers",126,123
"Kansas City-Omaha Kings",115,137
"Vancouver Grizzlies",101,359
"Milwaukee Hawks",90,190
"New Orleans Jazz",88,158
"San Diego Rockets",79,167
"New Orleans/Oklahoma City Hornets",77,87
"East NBA All Stars East",68,50
"Tri-Cities Blackhawks",55,80
"West NBA All Stars West",50,68
"Capital Bullets",50,39
"Providence Steamrollers",46,122
"Anderson Packers",41,31
"Cleveland Rebels",31,32
"Chicago Zephyrs",25,55
"Sheboygan Redskins",23,42
"Toronto Huskies",22,38
"Detroit Falcons",20,40
"Waterloo Hawks",19,43
"Indianapolis Jets",18,42
"Pittsburgh Ironmen",15,45
"Team LeBron",8,2
"Moscow CSKA",2,6
"Team Giannis",2,3
"Istanbul Fenerbahce Sports Club",1,1
"Madrid Real Madrid",1,3
"Unicaja Malaga Unicaja Malaga",1,0
"Barcelona Winterthur FC",1,0
"Barcelona FC Barcelona Regal",1,0
"Barcelona Regal FC",1,2
"Berlin Alba Berlin",1,1
"Istanbul Fenerbahce Ulker",1,2
"Real Madrid Real Madrid",1,1
"Adelaide 36ers",1,1
"Khimki BC",0,1
"Vilnius Lietuvos Rytas",0,1
"MMT Estudiantes MMT Estudiantes",0,1
"Panathinaikos Panathinaikos",0,2
"Zalgiris Kaunas Zalgiris Kaunas",0,3
"Vitoria Caja Laboral",0,2
"Athens Olympiacos",0,2
"Guangzhou Long-Lions",0,1
"Sydney Kings",0,1
"Shanghai Sharks",0,1
"Team Durant",0,3
"Siena Montepaschi Siena",0,2
"Buenos Aires San Lorenzo",0,1
"Roma Virtus Lottomatica",0,1
"Flamengo Flamengo",0,4
"Lyon-Villeurbanne Adecco ASVEL",0,1
"Belegrade Partizan",0,1
"Bauru Paschoalotto/Bauru",0,2
"Lottomatica Lottomatica Roma",0,1
"Milano EA7 Emporio Armani Milano",0,1
"Milano Armani Jeans Milano",0,1
"Bilbao Basket",0,1
"Barcelona FC Barcelona Lassa",0,1
"Shanghai Shanghai Sharks",0,1
"Melbourne United",0,1
"Milano Olimpia Milano",0,1
"Team Stephen",0,2
"Haifa Maccabi Haifa",0,16
"Tel Aviv Maccabi Electra",0,2
"Ra'anana Maccabi Ra'anana",0,3
"China Team China",0,1
"Brisbane Bullets",0,1
"Tel Aviv Maccabi Elite",0,6
"Istanbul Efes Pilsen",0,3
